from	to
112	894
112	885
112	692
101	452
101	726
101	932
101	251
101	853
101	159
101	500
101	640
101	475
101	154
101	411
853	883
761	827
761	97
271	925
271	94
271	295
271	460
271	551
271	457
271	331
317	94
317	593
317	573
696	95
696	877
379	891
379	97
379	601
589	98
159	589
159	533
159	448
325	789
100	891
100	907
100	942
147	640
147	494
147	864
102	768
102	715
102	423
102	907
102	325
102	915
105	433
105	525
105	811
105	853
105	806
105	896
797	976
360	802
360	93
360	479
360	491
360	969
772	93
424	939
424	97
424	641
500	909
500	673
500	710
500	873
640	806
640	970
95	981
103	979
103	568
103	786
103	579
475	879
475	979
475	776
475	667
475	613
774	93
286	831
896	964
200	648
200	99
200	304
200	727
154	997
154	436
154	481
154	654
411	651
411	558
411	451
411	797
411	770
411	744
411	714
411	677
411	983
770	916
106	997
106	348
106	772
106	500
106	239
243	785
243	94
243	99
243	301
243	268
243	305
239	656
239	509
239	828
239	445
239	845
107	372
107	872
107	971
107	982
721	993
316	880
316	835
316	443
316	580
314	371
314	947
314	595
314	318
431	763
431	706
431	829
431	549
431	889
195	297
195	360
195	431
195	290
304	782
304	728
304	329
347	764
531	814
157	383
157	449
135	380
135	536
135	183
135	932
135	537
135	285
135	751
588	960
133	466
133	162
133	741
133	314
133	528
196	984
196	497
196	902
128	558
128	664
128	157
128	522
132	626
132	462
132	896
132	998
132	456
756	762
756	819
756	797
756	908
522	550
522	691
777	864
145	146
145	762
145	173
145	342
145	730
145	479
680	846
680	901
680	796
496	916
496	834
496	822
141	593
141	680
141	960
141	249
176	308
176	233
176	729
176	373
176	555
176	852
342	358
342	633
730	919
730	797
283	909
283	594
480	610
480	576
480	744
480	795
480	566
480	570
206	961
206	312
206	454
206	807
206	470
206	463
494	718
385	944
385	778
385	443
385	533
385	732
126	431
126	849
126	642
126	868
130	781
130	279
130	253
130	300
130	681
130	829
960	984
960	980
695	847
695	926
695	716
456	849
456	725
456	729
456	947
456	993
830	963
642	656
642	697
642	914
642	930
143	890
143	347
143	476
127	811
127	316
127	531
127	422
127	573
127	582
127	820
647	950
479	610
479	863
479	819
479	910
134	664
134	755
134	830
249	463
249	386
320	831
320	846
320	434
320	689
320	992
320	447
641	751
829	885
829	902
139	536
139	721
139	777
252	453
252	263
252	268
170	879
170	985
170	531
170	340
170	957
170	993
170	461
114	622
114	148
114	828
114	306
114	352
114	673
114	274
387	898
387	896
387	582
387	574
657	938
582	659
374	768
374	603
374	903
374	931
117	701
117	868
117	725
117	293
117	916
117	677
868	968
868	976
868	995
868	929
743	950
743	940
306	987
306	838
476	480
476	600
476	638
800	862
725	805
725	899
389	827
389	568
389	516
389	918
516	912
516	772
516	675
516	886
841	865
138	928
138	930
138	195
138	304
138	196
138	756
138	496
138	285
138	374
138	574
118	660
118	441
118	657
118	964
118	820
118	574
290	291
290	979
290	314
290	673
290	345
290	296
290	908
290	801
111	454
111	671
111	388
111	582
111	841
111	258
111	952
895	910
124	530
124	387
124	751
115	956
115	821
115	800
115	672
115	263
258	295
258	912
258	389
258	745
121	678
121	614
121	895
121	884
121	746
729	816
352	428
952	965
884	896
751	964
562	853
562	563
293	304
293	663
109	606
109	129
109	254
109	212
109	864
109	744
109	120
109	123
123	473
123	729
110	942
110	290
110	396
110	735
324	343
324	634
324	405
324	385
324	729
324	584
324	332
673	827
673	871
673	765
673	699
396	713
396	411
396	598
396	882
672	865
401	531
401	748
164	678
164	672
164	769
164	805
164	587
164	194
164	302
164	616
274	422
274	319
574	704
574	902
746	941
746	764
122	170
125	632
125	885
125	892
125	641
125	138
125	562
108	747
108	717
108	180
108	308
108	870
735	818
735	877
113	743
113	476
113	324
113	549
549	841
549	780
263	518
263	884
263	686
263	515
259	913
259	686
571	960
571	600
856	876
432	452
432	788
432	462
432	449
205	984
205	950
205	288
205	691
205	993
369	510
345	388
345	939
345	969
503	638
477	622
477	708
477	750
477	674
688	722
688	695
470	782
470	959
185	941
185	551
191	298
191	245
644	943
644	915
644	783
203	963
203	227
203	254
203	858
203	976
463	865
463	910
373	664
373	942
221	384
221	588
221	480
245	363
245	680
245	385
245	775
288	824
288	554
288	507
288	519
551	820
551	575
575	726
575	784
575	826
575	988
662	812
662	815
209	373
209	242
189	858
189	755
189	577
189	269
242	443
242	492
242	503
242	595
555	914
555	602
555	889
303	507
303	472
926	969
825	982
403	919
403	650
403	911
403	942
403	499
691	915
691	977
759	911
201	781
201	684
201	366
201	411
201	369
201	644
201	666
201	901
201	381
201	313
707	801
901	949
669	835
269	712
269	663
269	724
269	487
269	776
402	540
402	750
402	776
417	518
417	839
417	582
417	974
211	485
211	986
211	557
381	651
313	678
313	850
188	247
188	433
188	233
188	303
208	357
208	363
208	823
208	373
208	575
198	357
198	925
198	637
198	761
198	424
198	573
560	737
560	570
177	866
177	404
177	692
177	841
177	809
184	707
769	969
805	952
736	856
175	363
175	317
175	196
175	403
175	217
587	876
217	650
217	777
217	301
467	943
467	512
467	536
467	670
467	816
149	178
149	150
149	431
353	998
353	991
881	915
152	260
152	955
152	947
152	226
152	359
152	991
152	465
226	762
226	372
226	231
226	777
226	293
226	569
413	620
413	507
153	680
153	952
153	467
153	809
153	491
153	974
803	967
780	919
780	859
780	783
780	929
261	357
261	984
261	664
261	369
261	359
261	857
261	277
533	640
720	839
720	797
491	523
491	548
491	981
491	993
436	561
436	721
436	487
742	921
169	925
169	828
169	641
481	814
359	804
359	378
302	531
302	725
302	324
302	328
302	567
710	752
710	879
710	760
296	723
296	375
296	300
296	797
296	798
534	545
534	661
156	781
156	399
156	195
156	302
156	975
591	999
340	863
340	920
340	823
340	939
340	360
340	613
216	768
216	229
216	802
216	423
216	591
654	969
161	938
161	806
161	896
161	413
449	752
449	931
449	597
602	642
602	662
469	785
469	994
287	750
287	854
287	972
386	858
386	929
465	503
465	515
465	705
465	585
461	660
461	990
461	698
428	858
428	574
163	375
163	348
163	639
163	710
163	584
584	675
616	713
616	879
616	720
795	976
310	545
310	342
607	681
474	919
474	866
474	818
474	486
676	819
676	926
566	873
686	963
686	932
686	931
338	741
338	639
338	902
338	663
277	866
277	382
277	704
277	829
277	795
277	886
540	679
526	648
526	723
526	998
364	791
364	687
364	379
364	422
364	886
213	571
213	353
213	611
213	515
213	394
238	838
238	628
238	993
238	565
442	645
442	960
442	567
442	921
712	778
712	850
712	904
236	986
236	825
236	367
631	950
631	681
539	653
539	640
539	800
301	473
301	956
301	455
301	950
301	680
301	571
219	360
219	582
219	543
611	807
410	807
435	923
435	699
679	731
679	933
679	924
224	651
224	535
224	316
224	496
224	803
224	410
224	311
565	784
565	740
223	357
223	275
223	689
223	907
223	494
223	917
223	364
223	370
445	704
445	998
445	567
311	512
311	448
311	859
311	833
708	950
708	964
813	848
270	928
270	531
270	810
270	587
270	900
270	783
376	415
376	574
376	779
268	675
268	390
457	738
457	832
457	868
457	748
569	962
569	633
365	778
365	625
365	605
255	541
255	982
255	457
255	365
255	502
367	738
367	550
367	846
367	589
367	516
367	976
543	794
222	441
222	231
222	992
222	680
222	352
222	746
222	654
222	526
843	909
845	884
845	877
595	979
595	938
595	810
439	787
439	496
240	350
502	627
458	473
458	612
458	876
458	970
484	765
484	664
484	516
484	845
248	590
248	365
248	439
745	890
745	803
515	527
515	625
515	955
515	524
515	700
515	667
954	970
557	737
557	676
557	893
305	473
305	670
305	907
305	325
305	814
305	646
649	677
370	762
370	593
370	681
394	618
394	509
394	680
394	597
265	962
265	584
265	397
265	848
328	846
328	416
328	838
328	519
328	437
328	969
328	698
833	981
397	466
397	863
397	939
397	859
397	596
351	936
351	441
351	554
850	864
318	396
318	900
318	585
580	786
580	910
580	703
754	763
754	910
646	928
646	998
675	991
281	788
281	526
594	599
273	497
273	872
554	561
507	790
294	493
294	992
294	579
294	345
294	683
683	857
683	988
391	465
284	490
600	750
886	949
638	851
638	752
638	660
638	966
910	980
668	967
668	884
280	944
280	704
280	841
280	386
280	391
280	799
280	816
567	605
567	922
472	982
472	793
663	987
663	740
663	893
331	725
331	368
395	495
395	676
395	906
339	715
339	624
724	860
487	518
487	593
519	842
519	677
948	955
798	872
329	532
329	676
329	655
801	834
307	629
307	516
307	633
307	922
922	980
368	964
368	502
799	880
799	818
816	880
816	842
816	878
816	995
816	959
750	889
262	493
262	803
262	977
390	732
390	724
266	541
266	729
266	288
266	467
278	865
278	536
278	949
278	366
264	606
264	888
299	349
299	480
299	769
299	900
299	720
319	432
319	917
319	583
437	942
776	811
776	850
783	794
783	899
601	960
592	833
450	835
450	858
450	812
450	937
514	678
514	775
514	776
581	619
581	912
581	587
812	846
771	919
661	879
661	898
958	972
767	919
586	609
586	587
586	945
921	960
471	527
471	990
471	887
429	762
429	818
429	814
429	669
760	796
815	818
815	847
889	961
517	911
517	645
517	998
517	730
703	791
703	788
703	717
703	864
703	941
703	861
703	937
873	880
440	808
440	660
440	948
444	950
444	952
444	491
705	804
570	984
563	728
630	635
630	854
426	637
426	699
426	430
418	518
418	722
418	638
418	471
438	785
438	985
438	826
468	714
667	715
488	673
488	916
877	958
822	904
506	946
506	644
506	817
430	806
430	996
498	967
498	826
498	539
511	649
674	894
674	706
674	960
773	778
773	996
655	689
655	759
655	750
408	519
414	635
414	650
969	998
330	648
330	462
330	608
330	587
330	654
354	979
354	702
354	802
354	424
354	641
354	743
764	808
764	980
764	854
419	882
862	995
698	777
698	924
615	756
332	628
332	797
332	849
332	796
779	826
604	620
918	973
336	944
336	479
336	562
336	338
804	900
505	981
482	654
482	621
598	652
613	898
613	781
613	754
613	760
613	876
596	752
627	808
627	796
326	988
643	996
346	619
346	588
346	557
346	643
597	854
758	931
398	846
398	753
398	578
398	937
398	716
400	919
400	618
400	814
400	675
400	487
400	559
499	961
499	898
499	641
499	887
499	948
499	547
621	648
621	741
406	522
406	407
407	718
407	836
337	513
337	687
337	546
337	902
337	410
337	365
337	510
904	965
420	950
420	907
420	519
421	737
421	951
612	811
612	662
612	708
796	915
559	843
559	668
970	979
378	497
378	492
378	591
378	804
446	879
446	690
446	517
793	898
447	594
447	581
510	979
510	965
510	833
510	834
906	925
